name
ACM Comm. Computer Algebra
ACM Crossroads
ACM SIGSAM Bulletin
ACM Trans. Inf. Syst. Secur.
ACM Trans. Priv. Secur.
ACM Trans. Social Computing
ACM Trans. Spatial Algorithms and Systems
IEE Proceedings - Software
IEICE Electronic Express
IET Computers & Digital Techniques
IET Software
IJADS
IJAMC
IJANTTI
IJARAS
I. J. Artificial Intelligence in Education
IJBIS
IJCBPL
IJCINI
