id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-type;number;pages;publisher;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
22;Ekkart Kindler;;;;;;;;;;;https://doi.org/10.1007/BF01178381;;;Acta Inf.;journals/acta/Kindler95;2017-05-28;;;;4;299-312;;;;;Invariants, Composition, and Substitution.;;;db/journals/acta/acta32.html#Kindler95;32;1995
23;Demetres D. Kouvatsos;;;;;;;;;;;https://doi.org/10.1007/BF00288469;; G/G/1/N ;Acta Inf.;journals/acta/Kouvatsos86;2017-05-28;;;;5;545-565;;;;;Maximum Entropy and the ;;;db/journals/acta/acta23.html#Kouvatsos86;23;1986
24;Christian Lengauer|Sergei Gorlatch;;;;;;;;;;;https://doi.org/10.1007/s002360050174;;;Acta Inf.;journals/acta/GorlatchL00;2017-06-02;;;;9/10;761-803;;;;;Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.;;;db/journals/acta/acta36.html#GorlatchL00;36;2000
25;Roland Meyer;;;;;;;;;;;https://doi.org/10.1007/s00236-009-0091-x;;pi;Acta Inf.;journals/acta/Meyer09;2017-05-28;;;;2;87-137;;;;;A theory of structural stationarity in the ;;;db/journals/acta/acta46.html#Meyer09;46;2009
26;Stefan Reisch;;;;;;;;;;;https://doi.org/10.1007/BF00288964|https://www.wikidata.org/entity/Q55951220;;;Acta Inf.;journals/acta/Reisch81;2018-11-14;;;;;167-191;;;;;Hex ist PSPACE-vollständig.;;;db/journals/acta/acta15.html#Reisch81;15;1981
27;Erzsébet Csuhaj-Varjú|Victor Mitrana;;;;;;;;;;;https://doi.org/10.1007/s002360050178;;;Acta Inf.;journals/acta/Csuhaj-VarjuM00;2017-06-02;;;;11;913-926;;;;;Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.;;;db/journals/acta/acta36.html#Csuhaj-VarjuM00;36;2000
28;Lila Kari|Manasi S. Kulkarni;;;;;;;;;;;https://doi.org/10.1007/s00236-016-0258-1;;;Acta Inf.;journals/acta/KariK17;2017-05-04;;;;4;379-398;;;;;Disjunctivity and other properties of sets of pseudo-bordered words.;;;db/journals/acta/acta54.html#KariK17;54;2017
29;Ryszard Janicki;;;;;;;;;;;https://doi.org/10.1007/s00236-008-0071-6;;;Acta Inf.;journals/acta/Janicki08;2017-05-28;;;;4;279-320;;;;;Relational structures model of concurrency.;;;db/journals/acta/acta45.html#Janicki08;45;2008
30;Bruce Russell;;;;;;;;;;;https://doi.org/10.1007/BF00289244;;;Acta Inf.;journals/acta/Russell77;2017-05-28;;;;;113-123;;;;;On an Equivalence between Continuation and Stack Semantics.;;;db/journals/acta/acta8.html#Russell77;8;1977
31;Andrzej Ehrenfeucht|Grzegorz Rozenberg;;;;;;;;;;;https://doi.org/10.1007/BF00288638;;;Acta Inf.;journals/acta/EhrenfeuchtR74;2017-05-28;;;;;265-283;;;;;Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.;;;db/journals/acta/acta3.html#EhrenfeuchtR74;3;1974
